last name,first name,position,team,year,average salary
Bazemore,Kent,SF,ATL,2017,17500000
Schroder,Dennis,PG,ATL,2017,17500000
Plumlee,Miles,C,ATL,2017,12500000
Dedmon,Dewayne,C,ATL,2017,7050000
Belinelli,Marco,SF,ATL,2017,6333333
Ilyasova,Ersan,SF,ATL,2017,6000000
Muscala,Mike,PF,ATL,2017,5000000
Delaney,Malcom,SG,ATL,2017,2500000
Prince,Taurean,SF,ATL,2017,2370420
Collins,John,PF,ATL,2017,2118000
Babbitt,Luke,SF,ATL,2017,1974159
Evans,Jeremy,SF,ATL,2017,1841849
Jenkins,John,SG,ATL,2017,1577230
Bembry,DeAndre',SG,ATL,2017,1533480
Cook,Quinn,PG,ATL,2017,1428781
Dorsey,Tyler,PG,ATL,2017,1096929
Brussino,Nicolas,PG,ATL,2017,832994
Cavanaugh,Tyler,PF,ATL,2017,815615
Mathews,Jordan,SG,ATL,2017,815615
Hayward,Gordon,SF,BOS,2017,31957493
Horford,Al,C,BOS,2017,28331557
Irving,Kyrie,PG,BOS,2017,18868625
Tatum,Jayson,SF,BOS,2017,6173100
Morris,Marcus,PF,BOS,2017,5000000
Brown,Jaylen,SF,BOS,2017,4849740
Baynes,Aron,PF,BOS,2017,4328000
Smart,Marcus,PG,BOS,2017,3707815
Yabusele,Guerschon,PF,BOS,2017,2457540
Rozier,Terry,PG,BOS,2017,1906440
Larkin,Shane,PG,BOS,2017,1524305
Ojeleye,Semi,SF,BOS,2017,1510401
Nader,Abdel,SF,BOS,2017,1388032
Theis,Daniel,C,BOS,2017,1096929
Dixon,Daniel,G,BOS,2017,815615
Peak,L.J.,SG,BOS,2017,815615
White,Andrew,G,BOS,2017,815615
Crabbe,Allen,SF,BKN,2017,18708125
Mozgov,Timofey,C,BKN,2017,16000000
Carroll,DeMarre,SF,BKN,2017,14500000
Lin,Jeremy,PG,BKN,2017,12766667
Booker,Trevor,PF,BKN,2017,9187500
Russell,D'Angelo,PG,BKN,2017,5332760
Zeller,Tyler,C,BKN,2017,1821740
Acy,Quincy,SF,BKN,2017,1749815
LeVert,Caris,SG,BKN,2017,1597380
Hollis-Jefferson,Rondae,SF,BKN,2017,1395600
Whitehead,Isaiah,PG,BKN,2017,1146474
Harris,Joe,SG,BKN,2017,1015838
Dinwiddie,Spencer,PG,BKN,2017,967911
