last name,first name,position,team,year,average salary
Horford,Al,C,ATL,2014,12000000
Millsap,Paul,PF,ATL,2014,9500000
Teague,Jeff,PG,ATL,2014,8000000
Korver,Kyle,SG,ATL,2014,6000000
Sefolosha,Thabo,SF,ATL,2014,4000000
Scott,Mike,PF,ATL,2014,3333333
Carroll,DeMarre,SF,ATL,2014,2500000
Mack,Shelvin,PG,ATL,2014,2433333
Bazemore,Kent,SF,ATL,2014,2000000
Brand,Elton,PF,ATL,2014,2000000
Schröder,Dennis,PG,ATL,2014,1877716
Jenkins,John,SG,ATL,2014,1258760
Antic,Pero,PF,ATL,2014,1225000
Muscala,Mike,PF,ATL,2014,735231
Daye,Austin,PF,ATL,2014,624168
Daye,Austin,PF,ATL,2014,6255
Eddie,Jarell,SF,ATL,2014,2984
Wallace,Gerald,SF,BOS,2014,10000008
Bradley,Avery,SG,BOS,2014,8000000
Thomas,Isaiah,PG,BOS,2014,6750001
Bass,Brandon,PF,BOS,2014,6450000
Jerebko,Jonas,PF,BOS,2014,4500000
Smart,Marcus,PG,BOS,2014,3707815
Turner,Evan,SF,BOS,2014,3351755
Olynyk,Kelly,C,BOS,2014,2330324
Zeller,Tyler,C,BOS,2014,1879324
Datome,Luigi,SF,BOS,2014,1750000
Young,James,SG,BOS,2014,1749840
Sullinger,Jared,PF,BOS,2014,1591605
Crowder,Jae,SF,BOS,2014,768202
Pressey,Phil,PG,BOS,2014,751313
Babb,Chris,SG,BOS,2014,497652
Dawkins,Andre,SG,BOS,2014,2984
Dawkins,Andre,SG,BOS,2014,2984
Johnson,Joe,SF,BKN,2014,20609682
Williams,Deron,PG,BKN,2014,19754465
Lopez,Brook,C,BKN,2014,15206485
Young,Thaddeus,PF,BKN,2014,8600000
Jack,Jarrett,PG,BKN,2014,6300000
Bogdanovic,Bojan,SF,BKN,2014,3425510
Teletovic,Mirza,PF,BKN,2014,3229050
Plumlee,Mason,C,BKN,2014,1599943
Karasev,Sergey,SG,BKN,2014,1533840
Anderson,Alan,SG,BKN,2014,1304773
Morris,Darius,PG,BKN,2014,859089
Jordan,Jerome,C,BKN,2014,816482
Brown,Markel,SG,BKN,2014,676198
Jefferson,Cory,PF,BKN,2014,676198
Clark,Earl,SF,BKN,2014,624168
Clark,Earl,SF,BKN,2014,5973
Jefferson,Al,C,CHA,2014,13500000
Thomas,Tyrus,PF,CHA,2014,9041323
Stephenson,Lance,SF,CHA,2014,9000000
Williams,Marvin,PF,CHA,2014,7000000
Henderson,Gerald,SG,CHA,2014,6000000
Kidd-Gilchrist,Michael,SF,CHA,2014,5190231
Zeller,Cody,PF,CHA,2014,4352528
Williams,Mo,PG,CHA,2014,3750000
Biyombo,Bismack,PF,CHA,2014,3161320
Vonleh,Noah,PF,CHA,2014,2854628
Roberts,Brian,PG,CHA,2014,2793470
Walker,Kemba,PG,CHA,2014,2664793
Maxiell,Jason,PF,CHA,2014,1316809
Hairston,P.J.,SG,CHA,2014,1175580
Daniels,Troy,SG,CHA,2014,881879
Taylor,Jeff,SG,CHA,2014,759705
Williams,Elliot,SG,CHA,2014,5771
Rose,Derrick,PG,CHI,2014,18862876
Boozer,Carlos,PF,CHI,2014,13549000
Noah,Joakim,C,CHI,2014,12000000
Gibson,Taj,PF,CHI,2014,8250000
Gasol,Pau,PF,CHI,2014,7448760
Mirotic,Nikola,PF,CHI,2014,5543725
Dunleavy,Mike,SF,CHI,2014,3254618
Hinrich,Kirk,SG,CHI,2014,2793470
McDermott,Doug,SF,CHI,2014,2609109
Snell,Tony,SF,CHI,2014,1696412
Mohammed,Nazr,C,CHI,2014,1448490
Butler,Jimmy,SG,CHI,2014,1302377
Brooks,Aaron,PG,CHI,2014,1145685
Moore,E'Twaun,SG,CHI,2014,981792
Bairstow,Cameron,PF,CHI,2014,777609
James,LeBron,SF,CLE,2014,21108899
Love,Kevin,PF,CLE,2014,15206485
Varejao,Anderson,PF,CLE,2014,8050000
Smith,J.R.,SG,CLE,2014,5982375
Irving,Kyrie,PG,CLE,2014,5799503
Mozgov,Timofey,C,CLE,2014,4666667
Haywood,Brendan,C,CLE,2014,4209047
Thompson,Tristan,C,CLE,2014,4205318
Miller,Mike,SG,CLE,2014,2793470
Shumpert,Iman,SG,CLE,2014,1879324
Jones,James,SG,CLE,2014,1448490
