last name,first name,position,team,year,average salary
Johnson,Joe,SF,ATL,2011,20609682
Horford,Al,C,ATL,2011,12000000
Smith,Josh,SF,ATL,2011,11600000
Hinrich,Kirk,SG,ATL,2011,9550000
Williams,Marvin,PF,ATL,2011,7500000
Pachulia,Zaza,C,ATL,2011,4750000
Teague,Jeff,PG,ATL,2011,1715929
Green,Willie,SF,ATL,2011,1352181
Radmanovic,Vladimir,SF,ATL,2011,1352181
Collins,Jason,C,ATL,2011,1352181
McGrady,Tracy,SG,ATL,2011,1352181
Stackhouse,Jerry,SF,ATL,2011,1352181
Johnson,Ivan,PF,ATL,2011,473604
Dampier,Erick,C,ATL,2011,20488
Dampier,Erick,C,ATL,2011,10244
Dampier,Erick,C,ATL,2011,8195
Sloan,Donald,PG,ATL,2011,7176
Garnett,Kevin,PF,BOS,2011,17100000
Pierce,Paul,SF,BOS,2011,15333334
Rondo,Rajon,PG,BOS,2011,11000000
Allen,Ray,SG,BOS,2011,10000000
O'Neal,Jermaine,C,BOS,2011,5995500
Bass,Brandon,PF,BOS,2011,4000000
Wilcox,Chris,PF,BOS,2011,3000000
Bradley,Avery,SG,BOS,2011,1771218
Pietrus,Mickael,SF,BOS,2011,1223166
Daniels,Marquis,SF,BOS,2011,1223166
Pavlovic,Sasha,SG,BOS,2011,1223166
Johnson,JaJuan,PF,BOS,2011,1042320
Stiemsma,Greg,C,BOS,2011,762195
Moore,E'Twaun,SG,BOS,2011,617900
Williams,Sean,PF,BOS,2011,478035
Arroyo,Carlos,PG,BOS,2011,412854
Hollins,Ryan,C,BOS,2011,248048
Williams,Deron,PG,BKN,2011,16266652
Humphries,Kris,PF,BKN,2011,8000000
Outlaw,Travis,SF,BKN,2011,4000000
Morrow,Anthony,SG,BKN,2011,4000000
Farmar,Jordan,PG,BKN,2011,3875000
Petro,Johan,C,BKN,2011,3333333
Williams,Shawne,SF,BKN,2011,3000000
Stevenson,DeShawn,SF,BKN,2011,2500000
Lopez,Brook,C,BKN,2011,2461186
Brooks,MarShon,SG,BKN,2011,1144662
Williams,Shelden,C,BKN,2011,992680
Williams,Jordan,PF,BKN,2011,473604
Emmett,Andre,SG,BKN,2011,415742
Green,Gerald,SG,BKN,2011,277540
Bogans,Keith,SF,BKN,2011,77120
Johnson,Armon,PG,BKN,2011,34644
Green,Gerald,SG,BKN,2011,9714
Johnson,Armon,PG,BKN,2011,6929
Green,Gerald,SG,BKN,2011,5551
Horner,Dennis,SF,BKN,2011,4306
Smith,Jerry,SG,BKN,2011,4306
Maggette,Corey,SF,CHA,2011,9624827
Wallace,Gerald,SF,CHA,2011,9615000
Thomas,Tyrus,PF,CHA,2011,8000000
Diop,DeSagana,C,CHA,2011,6478600
Carroll,Matt,SG,CHA,2011,4680000
Biyombo,Bismack,PF,CHA,2011,3161320
Najera,Eduardo,PF,CHA,2011,3000000
Walker,Kemba,PG,CHA,2011,2664793
Augustin,D.J.,PG,CHA,2011,2658710
Williams,Reggie,SF,CHA,2011,2556250
Henderson,Gerald,SG,CHA,2011,2353212
Mullens,B.J.,PF,CHA,2011,1466415
White,D.J.,PF,CHA,2011,1277592
Brown,Derrick,PG,CHA,2011,854389
Moon,Jamorio,PF,CHA,2011,534981
Higgins,Cory,SG,CHA,2011,473604
Boozer,Carlos,PF,CHI,2011,15000000
Noah,Joakim,C,CHI,2011,12000000
Deng,Luol,SF,CHI,2011,11834238
Rose,Derrick,PG,CHI,2011,5636787
Korver,Kyle,SG,CHI,2011,5000000
Hamilton,Richard,SG,CHI,2011,5000000
Brewer,Ronnie,SF,CHI,2011,4166667
Watson,C.J.,PG,CHI,2011,3250000
Gibson,Taj,PF,CHI,2011,2172737
Asik,Omer,C,CHI,2011,1789250
Scalabrine,Brian,PF,CHI,2011,1352181
Butler,Jimmy,SG,CHI,2011,1302377
James,Mike,PG,CHI,2011,1229255
James,Mike,PG,CHI,2011,574517
LucasIII,John,PG,CHI,2011,540992
James,Mike,PG,CHI,2011,204875
James,Mike,PG,CHI,2011,16763
Davis,Baron,PG,CLE,2011,14325000
Jamison,Antawn,PF,CLE,2011,12500000
Varejao,Anderson,PF,CLE,2011,8050000
Samuels,Samardo,C,CLE,2011,7666667
Irving,Kyrie,PG,CLE,2011,5799503
Walton,Luke,SF,CLE,2011,5048561
Thompson,Tristan,C,CLE,2011,4205318
Gibson,Daniel,SG,CLE,2011,4200000
Parker,Anthony,SG,CLE,2011,2250000
Eyenga,Christian,PG,CLE,2011,1059240
Gee,Alonzo,SF,CLE,2011,667062
Erden,Semih,C,CLE,2011,631238
Harangody,Luke,PF,CLE,2011,613238
Kennedy,D.J.,SG,CLE,2011,390320
Harris,Manny,SG,CLE,2011,202842
Hudson,Lester,PG,CLE,2011,6890
Hudson,Lester,PG,CLE,2011,6890
Uzoh,Ben,PG,CLE,2011,6147
Harris,Manny,SG,CLE,2011,5774
Harris,Manny,SG,CLE,2011,4947
Sloan,Donald,PG,CLE,2011,3588
Nowitzki,Dirk,PF,DAL,2011,20000000
Terry,Jason,SG,DAL,2011,9670500
Kidd,Jason,PG,DAL,2011,8366667
Odom,Lamar,PF,DAL,2011,8200000
Marion,Shawn,SF,DAL,2011,8003842
Haywood,Brendan,C,DAL,2011,7262250
Carter,Vince,SG,DAL,2011,3090000
Beaubois,Rodrigue,PG,DAL,2011,1423893
Jones,Dominique,SG,DAL,2011,1193320
West,Delonte,PG,DAL,2011,1146337
Wright,Brandan,PF,DAL,2011,954266
Mahinmi,Ian,C,DAL,2011,823244
Jianlian,Yi,PF,DAL,2011,771706
Azubuike,Kelenna,SF,DAL,2011,270738
Afflalo,Arron,SG,DEN,2011,7342500
Miller,Andre,PG,DEN,2011,7269264
Harrington,Al,PF,DEN,2011,6687400
