last name,first name,position,team,year,average salary
Horford,Al,C,ATL,2012,12000000
Smith,Josh,SF,ATL,2012,11600000
Harris,Devin,PG,ATL,2012,8600000
Williams,Louis,SG,ATL,2012,5225000
Korver,Kyle,SG,ATL,2012,5000000
Pachulia,Zaza,C,ATL,2012,4750000
Petro,Johan,C,ATL,2012,3333333
Jones,Dahntay,SF,ATL,2012,2650000
Stevenson,DeShawn,SF,ATL,2012,2240450
Teague,Jeff,PG,ATL,2012,1715929
Jenkins,John,SG,ATL,2012,1258760
Johnson,Ivan,PF,ATL,2012,962195
Tolliver,Anthony,PF,ATL,2012,915852
Scott,Mike,PF,ATL,2012,631238
Mack,Shelvin,PG,ATL,2012,493707
Pargo,Jannero,PG,ATL,2012,7231
Pargo,Jannero,PG,ATL,2012,7231
Mack,Shelvin,PG,ATL,2012,4484
Mack,Shelvin,PG,ATL,2012,4484
Pierce,Paul,SF,BOS,2012,15333334
Garnett,Kevin,PF,BOS,2012,12000000
Rondo,Rajon,PG,BOS,2012,11000000
Green,Jeff,SF,BOS,2012,8800000
Bass,Brandon,PF,BOS,2012,6450000
Lee,Courtney,SG,BOS,2012,5337500
Terry,Jason,SG,BOS,2012,5225000
Bradley,Avery,SG,BOS,2012,1771218
Sullinger,Jared,PF,BOS,2012,1591605
Crawford,Jordan,SG,BOS,2012,1380965
Wilcox,Chris,PF,BOS,2012,1352181
Melo,Fab,C,BOS,2012,1282980
Randolph,Shavlik,PF,BOS,2012,635221
Williams,Terrence,SG,BOS,2012,598912
White,D.J.,PF,BOS,2012,591829
Randolph,Shavlik,PF,BOS,2012,5839
Randolph,Shavlik,PF,BOS,2012,5839
White,D.J.,PF,BOS,2012,5387
White,D.J.,PF,BOS,2012,5387
Williams,Terrence,SG,BOS,2012,5207
Outlaw,Travis,SF,BKN,2012,4000000
Rose,Derrick,PG,CHI,2012,18862876
Boozer,Carlos,PF,CHI,2012,15000000
Noah,Joakim,C,CHI,2012,12000000
Deng,Luol,SF,CHI,2012,11834238
Hamilton,Richard,SG,CHI,2012,5000000
Hinrich,Kirk,SG,CHI,2012,4000000
Gibson,Taj,PF,CHI,2012,2172737
Belinelli,Marco,SF,CHI,2012,1957000
Mohammed,Nazr,C,CHI,2012,1352181
Radmanovic,Vladimir,SF,CHI,2012,1352181
Butler,Jimmy,SG,CHI,2012,1302377
Robinson,Nate,PG,CHI,2012,1146337
Teague,Marquis,PG,CHI,2012,1017547
Cook,Daequan,SG,CHI,2012,595608
Thomas,Malcolm,PF,CHI,2012,464564
Amundson,Louis,PF,CHI,2012,6291
Thomas,Malcolm,PF,CHI,2012,4484
Thomas,Malcolm,PF,CHI,2012,4484
Davis,Baron,PG,CLE,2012,14325000
Varejao,Anderson,PF,CLE,2012,8050000
Irving,Kyrie,PG,CLE,2012,5799503
Walton,Luke,SF,CLE,2012,5048561
Speights,Marreese,C,CLE,2012,4357500
Thompson,Tristan,C,CLE,2012,4205318
Waiters,Dion,SG,CLE,2012,4205318
Gibson,Daniel,SG,CLE,2012,4200000
Gee,Alonzo,SF,CLE,2012,3250000
Miles,C.J.,SG,CLE,2012,2225000
Zeller,Tyler,C,CLE,2012,1879324
Casspi,Omri,SF,CLE,2012,1510187
Ellington,Wayne,SG,CLE,2012,1329951
Livingston,Shaun,PG,CLE,2012,1108044
Quinn,Chris,PG,CLE,2012,638141
Jones,Kevin,PF,CLE,2012,589450
Nowitzki,Dirk,PF,DAL,2012,20000000
Marion,Shawn,SF,DAL,2012,8003842
Kaman,Chris,C,DAL,2012,8000000
Haywood,Brendan,C,DAL,2012,7023500
Mayo,O.J.,SG,DAL,2012,4110450
Morrow,Anthony,SG,DAL,2012,4000000
Carter,Vince,SG,DAL,2012,3090000
Brand,Elton,PF,DAL,2012,2100500
Collison,Darren,PG,DAL,2012,1600616
Beaubois,Rodrigue,PG,DAL,2012,1423893
Cunningham,Jared,SG,DAL,2012,1182360
Wright,Brandan,PF,DAL,2012,954266
Crowder,Jae,SF,DAL,2012,768202
James,Mike,PG,DAL,2012,636320
James,Bernard,C,DAL,2012,631238
Akognon,Josh,PG,DAL,2012,401401
James,Mike,PG,DAL,2012,7954
James,Mike,PG,DAL,2012,7954
Dentmon,Justin,PG,DAL,2012,4484
Akognon,Josh,PG,DAL,2012,2786
Wright,Chris,PG,DAL,2012,2786
Wright,Chris,PG,DAL,2012,2786
Iguodala,Andre,SG,DEN,2012,13416667
McGee,JaVale,C,DEN,2012,11000000
Gallinari,Danilo,SF,DEN,2012,10500000
Chandler,Wilson,SF,DEN,2012,6344163
Miller,Andre,PG,DEN,2012,4875000
Mozgov,Timofey,C,DEN,2012,3350474
Brewer,Corey,SG,DEN,2012,3059000
Koufos,Kosta,C,DEN,2012,3000000
Lawson,Ty,PG,DEN,2012,1798552
Randolph,Anthony,PF,DEN,2012,1750000
Fournier,Evan,SG,DEN,2012,1639061
Faried,Kenneth,PF,DEN,2012,1545842
Hamilton,Jordan,SF,DEN,2012,1121560
Miller,Quincy,SF,DEN,2012,725906
Stone,Julyan,PG,DEN,2012,617900
Maggette,Corey,SF,DET,2012,9624827
Calderon,Jose,PG,DET,2012,9000000
Stuckey,Rodney,PG,DET,2012,8500000
Villanueva,Charlie,PF,DET,2012,7540000
Maxiell,Jason,PF,DET,2012,5000000
Jerebko,Jonas,PF,DET,2012,4500000
Monroe,Greg,C,DET,2012,3277524
Bynum,Will,PG,DET,2012,3250000
Knight,Brandon,PG,DET,2012,2897459
Drummond,Andre,C,DET,2012,2664793
Kravtsov,Vyacheslav,C,DET,2012,1500000
Singler,Kyle,SF,DET,2012,1045000
Middleton,Khris,SF,DET,2012,725906
English,Kim,SG,DET,2012,631238
Lee,David,PF,GSW,2012,13256280
Bogut,Andrew,C,GSW,2012,12000000
Jefferson,Richard,SF,GSW,2012,9723000
Biedrins,Andris,C,GSW,2012,9000000
Jack,Jarrett,PG,GSW,2012,5000000
Landry,Carl,PF,GSW,2012,4000000
Rush,Brandon,SG,GSW,2012,4000000
Curry,Stephen,PG,GSW,2012,3175066
Thompson,Klay,SG,GSW,2012,2435620
Barnes,Harrison,SF,GSW,2012,2192970
Ezeli,Festus,C,GSW,2012,1302377
Green,Draymond,PF,GSW,2012,880248
Bazemore,Kent,SF,GSW,2012,631238
Jones,Dwayne,C,GSW,2012,556391
Machado,Scott,PG,GSW,2012,395829
Thomas,Malcolm,PF,GSW,2012,4484
Machado,Scott,PG,GSW,2012,2786
Asik,Omer,C,HOU,2012,8374646
Lin,Jeremy,PG,HOU,2012,8374646
Garcia,Francisco,SG,HOU,2012,5800000
Scola,Luis,PF,HOU,2012,5724622
Harden,James,SG,HOU,2012,4458842
Robinson,Thomas,PF,HOU,2012,3526480
Delfino,Carlos,SG,HOU,2012,3000000
Brooks,Aaron,PG,HOU,2012,2454000
Jones,Terrence,PF,HOU,2012,1786262
White,Royce,PF,HOU,2012,1682460
Motiejunas,Donatas,PF,HOU,2012,1639061
Parsons,Chandler,SF,HOU,2012,832965
Anderson,James,SG,HOU,2012,809973
Smith,Greg,C,HOU,2012,706697
Beverley,Patrick,PG,HOU,2012,661830
Ohlbrecht,Tim,C,HOU,2012,616327
Hibbert,Roy,C,IND,2012,14610937
Granger,Danny,SF,IND,2012,12000000
West,David,PF,IND,2012,10000000
Hill,George,PG,IND,2012,8000000
Mahinmi,Ian,C,IND,2012,4000000
Augustin,D.J.,PG,IND,2012,3500000
Green,Gerald,SG,IND,2012,3500000
George,Paul,SF,IND,2012,2625256
Hansbrough,Tyler,PF,IND,2012,2262855
Ayres,Jeff,PF,IND,2012,1500000
Plumlee,Miles,C,IND,2012,1368493
Stephenson,Lance,SF,IND,2012,837500
Johnson,Orlando,SG,IND,2012,751372
Hansbrough,Ben,PG,IND,2012,473604
Young,Sam,SF,IND,2012,416527
McGuire,Dominic,SF,IND,2012,5839
McGuire,Dominic,SF,IND,2012,5839
Paul,Chris,PG,LAC,2012,15907354
Jordan,DeAndre,C,LAC,2012,10759764
Odom,Lamar,PF,LAC,2012,8200000
Butler,Caron,SF,LAC,2012,8000000
Griffin,Blake,PF,LAC,2012,5824671
Crawford,Jamal,SG,LAC,2012,5337500
Billups,Chauncey,PG,LAC,2012,4000000
Gomes,Ryan,SF,LAC,2012,4000000
Hill,Grant,SF,LAC,2012,2001033
Bledsoe,Eric,PG,LAC,2012,1853889
Green,Willie,SF,LAC,2012,1407666
Barnes,Matt,SF,LAC,2012,1229255
Turiaf,Ronny,C,LAC,2012,1146337
Hollins,Ryan,C,LAC,2012,1069509
Wayns,Maalik,PG,LAC,2012,423688
Summers,DaJuan,PF,LAC,2012,5207
Wayns,Maalik,PG,LAC,2012,2786
Wayns,Maalik,PG,LAC,2012,2786
Bryant,Kobe,SF,LAL,2012,27849149
Gasol,Pau,PF,LAL,2012,19000000
Howard,Dwight,C,LAL,2012,16647180
Nash,Steve,PG,LAL,2012,9300500
WorldPeace,Metta,SF,LAL,2012,6790640
Blake,Steve,PG,LAL,2012,4000000
Duhon,Chris,PG,LAL,2012,3750000
Hill,Jordan,C,LAL,2012,3500000
Meeks,Jodie,SG,LAL,2012,1525000
Jamison,Antawn,PF,LAL,2012,1352181
Clark,Earl,SF,LAL,2012,1200000
Ebanks,Devin,SF,LAL,2012,1054389
Morris,Darius,PG,LAL,2012,962195
Sacre,Robert,C,LAL,2012,473604
Goudelock,Andrew,PG,LAL,2012,17934
Randolph,Zach,PF,MEM,2012,16500000
Gasol,Marc,C,MEM,2012,14375941
Conley,Mike,PG,MEM,2012,8000000
Prince,Tayshaun,SF,MEM,2012,7000000
Arthur,Darrell,PF,MEM,2012,4837500
Allen,Tony,SG,MEM,2012,3150000
Bayless,Jerryd,PG,MEM,2012,3067500
Davis,Ed,PF,MEM,2012,2335775
Daye,Austin,PF,MEM,2012,2092369
WrotenJr.,Tony,SG,MEM,2012,1886531
Pondexter,Quincy,SF,MEM,2012,1421720
Leuer,Jon,PF,MEM,2012,617900
Greene,Donte,SF,MEM,2012,516406
Reed,Willie,PF,MEM,2012,395829
Dooling,Keyon,SG,MEM,2012,119310
Johnson,Christapher,SF,MEM,2012,2786
Johnson,Christapher,SF,MEM,2012,2786
Bosh,Chris,PF,MIA,2012,18306250
James,LeBron,SF,MIA,2012,18306250
Wade,Dwyane,SG,MIA,2012,17864333
Miller,Mike,SG,MIA,2012,5800000
Haslem,Udonis,PF,MIA,2012,4060000
Chalmers,Mario,PG,MIA,2012,4000000
Anthony,Joel,C,MIA,2012,3650000
Allen,Ray,SG,MIA,2012,3159525
Battier,Shane,SF,MIA,2012,3135000
Jones,James,SG,MIA,2012,1500000
Lewis,Rashard,PF,MIA,2012,1375844
Cole,Norris,PG,MIA,2012,1082560
Andersen,Chris,PF,MIA,2012,540872
Varnado,Jarvis,PF,MIA,2012,503087
Howard,Juwan,PF,MIA,2012,214758
Howard,Juwan,PF,MIA,2012,7954
Andersen,Chris,PF,MIA,2012,7954
Andersen,Chris,PF,MIA,2012,7954
Howard,Juwan,PF,MIA,2012,7954
Harrellson,Josh,PF,MIA,2012,4484
Varnado,Jarvis,PF,MIA,2012,2786
Varnado,Jarvis,PF,MIA,2012,2786
Ellis,Monta,SG,MIL,2012,11000000
Ilyasova,Ersan,SF,MIL,2012,8000000
Dalembert,Samuel,C,MIL,2012,6849283
Redick,J.J.,SG,MIL,2012,6563333
Gooden,Drew,PF,MIL,2012,6409680
Richard,Luc,SF,MIL,2012,4691288
Dunleavy,Mike,SF,MIL,2012,3750000
Udoh,Ekpe,PF,MIL,2012,3588607
Henson,John,PF,MIL,2012,3183295
Jennings,Brandon,PG,MIL,2012,2543213
Sanders,Larry,C,MIL,2012,2159752
Ayon,Gustavo,PF,MIL,2012,1500000
Przybilla,Joel,C,MIL,2012,1352181
Daniels,Marquis,SF,MIL,2012,1229255
Smith,Ishmael,PG,MIL,2012,951463
Love,Kevin,PF,MIN,2012,15206485
Kirilenko,Andrei,SF,MIN,2012,9999385
Roy,Brandon,SG,MIN,2012,5214750
Williams,Derrick,PF,MIN,2012,4809840
Barea,Jose,PG,MIN,2012,4500000
Pekovic,Nikola,C,MIN,2012,4320000
Ridnour,Luke,PG,MIN,2012,4000000
Rubio,Ricky,PG,MIN,2012,3836364
Milicic,Darko,PF,MIN,2012,3491500
Shved,Alexey,PG,MIN,2012,3150000
Stiemsma,Greg,C,MIN,2012,2632938
Cunningham,Dante,PF,MIN,2012,2090000
Gelabale,Mickael,SF,MIN,2012,1262880
Budinger,Chase,SF,MIN,2012,819353
Lee,Malcolm,SG,MIN,2012,715496
Johnson,Chris,PF,MIN,2012,631440
Gelabale,Mickael,SF,MIN,2012,5026
Gelabale,Mickael,SF,MIN,2012,5026
Hayward,Lazar,PF,MIN,2012,5026
Johnson,Chris,PF,MIN,2012,5026
Johnson,Chris,PF,MIN,2012,5026
Outlaw,Travis,SF,NJN,2012,4000000
Gordon,Eric,SG,NOP,2012,14591391
Anderson,Ryan,PF,NOP,2012,8500000
Davis,Anthony,PF,NOP,2012,5799503
Lopez,Robin,C,NOP,2012,5119761
Aminu,Al-Farouq,SF,NOP,2012,2755560
Smith,Jason,PF,NOP,2012,2500000
Rivers,Austin,SG,NOP,2012,2339080
Henry,Xavier,SG,NOP,2012,2171680
Vasquez,Greivis,PG,NOP,2012,1372747
Mason,Roger,SG,NOP,2012,1229255
Thomas,Lance,SF,NOP,2012,823244
Miller,Darius,SF,NOP,2012,631238
Roberts,Brian,PG,NOP,2012,631238
Harris,Terrel,SG,NOP,2012,486982
Amundson,Louis,PF,NOP,2012,6291
Harris,Terrel,SG,NOP,2012,4484
Harris,Terrel,SG,NOP,2012,4484
Sloan,Donald,PG,NOP,2012,4484
Sims,Henry,C,NOP,2012,2786
Anthony,Carmelo,SF,NYK,2012,21388954
Stoudemire,Amar'e,PF,NYK,2012,19948799
Chandler,Tyson,C,NYK,2012,13852363
Camby,Marcus,C,NYK,2012,4383773
Novak,Steve,SF,NYK,2012,3750001
Felton,Raymond,PG,NYK,2012,3715383
Kidd,Jason,PG,NYK,2012,3030000
Smith,J.R.,SG,NYK,2012,2869597
Shumpert,Iman,SG,NYK,2012,1879324
White,James,SG,NYK,2012,885244
Copeland,Chris,SF,NYK,2012,473604
Prigioni,Pablo,PG,NYK,2012,473604
Martin,Kenyon,PF,NYK,2012,270436
Richardson,Quentin,PF,NYK,2012,15908
Martin,Kenyon,PF,NYK,2012,7954
Martin,Kenyon,PF,NYK,2012,7954
Barron,Earl,PF,NYK,2012,6743
Durant,Kevin,SF,OKC,2012,17832627
Westbrook,Russell,PG,OKC,2012,15719062
Martin,Kevin,SG,OKC,2012,10600005
Perkins,Kendrick,C,OKC,2012,7850531
Sefolosha,Thabo,SF,OKC,2012,3512500
Collison,Nick,PF,OKC,2012,2757500
Lamb,Jeremy,SG,OKC,2012,2341929
Ibaka,Serge,PF,OKC,2012,1466415
Jackson,Reggie,PG,OKC,2012,1457363
JonesIII,Perry,SF,OKC,2012,1321472
Thabeet,Hasheem,C,OKC,2012,1216667
Brewer,Ronnie,SF,OKC,2012,1069509
Orton,Daniel,C,OKC,2012,917191
Liggins,DeAndre,SG,OKC,2012,823244
Fisher,Derek,PG,OKC,2012,413608
Arenas,Gilbert,SG,ORL,2012,20807922
Turkoglu,Hedo,SF,ORL,2012,10560000
Nelson,Jameer,PG,ORL,2012,8400000
Afflalo,Arron,SG,ORL,2012,7342500
Harrington,Al,PF,ORL,2012,6687400
Udrih,Beno,PG,ORL,2012,6478600
Davis,Glen,PF,ORL,2012,6425000
Harkless,Maurice,PF,ORL,2012,2080925
Vucevic,Nikola,C,ORL,2012,1977425
Harris,Tobias,PF,ORL,2012,1706649
Nicholson,Andrew,PF,ORL,2012,1706648
O'Quinn,Kyle,C,ORL,2012,830996
Moore,E'Twaun,SG,ORL,2012,823244
Lamb,Doron,SG,ORL,2012,784705
Jones,DeQuan,SF,ORL,2012,473604
Brand,Elton,PF,PHI,2012,16060354
Bynum,Andrew,C,PHI,2012,14300000
Young,Thaddeus,PF,PHI,2012,8600000
Hawes,Spencer,PF,PHI,2012,6550000
Richardson,Jason,SG,PHI,2012,6000000
Young,Nick,SF,PHI,2012,5600000
Turner,Evan,SF,PHI,2012,5380877
Wright,Dorell,SF,PHI,2012,3809667
Allen,LaVoy,PF,PHI,2012,3030000
Brown,Kwame,C,PHI,2012,2882473
Holiday,Jrue,PG,PHI,2012,1889465
Ivey,Royal,PG,PHI,2012,1223166
Wilkins,Damien,SG,PHI,2012,1223166
Moultrie,Arnett,PF,PHI,2012,1089240
Jenkins,Charles,PG,PHI,2012,617900
Holiday,Justin,SG,PHI,2012,418116
Mack,Shelvin,PG,PHI,2012,4484
Mack,Shelvin,PG,PHI,2012,4484
Pargo,Jermey,PG,PHI,2012,4484
Wayns,Maalik,PG,PHI,2012,2786
Dragic,Goran,PG,PHX,2012,7500000
Childress,Josh,SF,PHX,2012,7000000
Gortat,Marcin,C,PHX,2012,6790640
Frye,Channing,PF,PHX,2012,6000000
