Rk,Player,Tm,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,Signed Using,Guaranteed,Average Salary
500,Cameron Oliver\oliveca01,HOU,"$815,615 ","$1,378,242 ",,,,,Minimum Salary,"$300,000 ",1096929
501,Alfonzo McKinnie\mckinal01,TOR,"$815,615 ","$1,378,242 ",,,,,Minimum Salary,"$100,000 ",1096929
502,Nigel Hayes\hayesni01,NYK,"$815,615 ",,,,,,Minimum Salary,"$50,000 ",815615
503,Khem Birch\birchkh01,ORL,"$815,615 ","$1,378,242 ",,,,,Minimum Salary,"$25,000 ",1096929
504,Torian Graham\grahato01,UTA,"$815,615 ",,,,,,,,815615
505,Naz Mitrou-Long\mitrona01,UTA,"$815,615 ",,,,,,,,815615
506,London Perrantes\perralo01,SAS,"$815,615 ",,,,,,,,815615
507,Amida Brimah\brimaam01,SAS,"$815,615 ",,,,,,,,815615
508,Matt Jones\jonesma04,SAC,"$815,615 ",,,,,,,,815615
509,Isaiah Briscoe\briscis01,POR,"$815,615 ",,,,,,,,815615
510,Peter Jok\jokpe01,PHO,"$815,615 ",,,,,,,,815615
511,James Blackmon\blackja02,PHI,"$815,615 ",,,,,,,,815615
512,Jacob Pullen\pulleja01,PHI,"$815,615 ",,,,,,,,815615
513,Rodney Purvis\purviro01,ORL,"$815,615 ",,,,,,,,815615
514,Troy Caupain\caupatr01,ORL,"$815,615 ",,,,,,,,815615
515,Rashawn Thomas\thomara01,OKC,"$815,615 ",,,,,,,,815615
516,Bryce Alford\alforbr01,OKC,"$815,615 ",,,,,,,,815615
517,Xavier Rathan-Mayes\rathaxa01,NYK,"$815,615 ",,,,,,,,815615
518,Melo Trimble\trimbme01,MIN,"$815,615 ",,,,,,,,815615
519,Amile Jefferson\jeffeam01,MIN,"$815,615 ",,,,,,,,815615
520,JeQuan Lewis\lewisje01,MIL,"$815,615 ",,,,,,,,815615
521,Erik McCree\mccreer01,MIA,"$815,615 ",,,,,,,,815615
522,Matt Williams\willima05,MIA,"$815,615 ",,,,,,,,815615
523,Durand Scott\scottdu01,MEM,"$815,615 ",,,,,,,,815615
524,LaDontae Henton\hentola01,LAC,"$815,615 ",,,,,,,,815615
525,Tyrone Wallace\wallaty01,LAC,"$815,615 ",,,,,,,,815615
526,C.J. Williams\willicj01,LAC,"$815,615 ",,,,,,,,815615
527,Ben Moore\moorebe01,IND,"$815,615 ",,,,,,,,815615
528,Trey McKinney-Jones\mckintr01,IND,"$815,615 ",,,,,,,,815615
529,George de Paula\depauge01,HOU,"$815,615 ",,,,,,,,815615
530,Landry Nnoko\nnokola01,DET,"$815,615 ",,,,,,,,815615
531,Gian Clavell\clavegi01,DAL,"$815,615 ",,,,,,,,815615
532,PJ Dozier\doziepj01,DAL,"$815,615 ",,,,,,,,815615
533,Brandon Ashley\ashlebr01,DAL,"$815,615 ",,,,,,,,815615
534,T.J. Williams\willitj01,CHO,"$815,615 ",,,,,,,,815615
535,Luke Petrasek\petralu01,CHO,"$815,615 ",,,,,,,,815615
536,Isaiah Hicks\hicksis01,CHO,"$815,615 ",,,,,,,,815615
537,Terry Henderson\hendete01,CHO,"$815,615 ",,,,,,,,815615
538,Jaylen Johnson\johnsja04,CHI,"$815,615 ",,,,,,,,815615
539,Bronson Koenig\koenibr01,CHI,"$815,615 ",,,,,,,,815615
540,Jeremy Senglin\senglje01,BRK,"$815,615 ",,,,,,,,815615
541,Milton Doyle\doylemi01,BRK,"$815,615 ",,,,,,,,815615
542,Akil Mitchell\mitchak01,BRK,"$815,615 ",,,,,,,,815615
543,Andrew White\whitean01,BOS,"$815,615 ",,,,,,,,815615
544,Jonathan Holmes\holmejo01,BOS,"$815,615 ",,,,,,,,815615
545,L.J. Peak\peaklj01,BOS,"$815,615 ",,,,,,,,815615
546,Daniel Dixon\dixonda01,BOS,"$815,615 ",,,,,,,,815615
547,Carlos Delfino\delfica01,LAC,"$650,000 ","$650,000 ",,,,,,"$1,300,000 ",650000
548,Caron Butler\butleca01,SAC,"$517,220 ","$517,220 ",,,,,,"$1,034,440 ",517220
549,Jordan Farmar\farmajo01,LAC,"$510,921 ",,,,,,,"$510,921 ",510921
550,Leandro Barbosa\barbole01,PHO,"$500,000 ",,,,,,,"$500,000 ",500000
551,Tibor Pleiss\pleisti01,PHI,"$500,000 ",,,,,,,"$500,000 ",500000
552,Michael Gbinije\gbinimi01,DET,"$500,000 ",,,,,,,"$500,000 ",500000
553,Aaron Gray\grayaa01,DET,"$452,059 ",,,,,,,"$452,059 ",452059
554,Festus Ezeli\ezelife01,POR,"$333,334 ","$333,333 ","$333,333 ",,,,,"$1,000,000 ",333333
555,C.J. Watson\watsocj01,ORL,"$333,334 ","$333,333 ","$333,333 ",,,,,"$1,000,000 ",333333
556,Gal Mekel\mekelga01,DAL,"$315,760 ",,,,,,,"$315,760 ",315760
13,Damian Lillard\lillada01,POR,26153057,27977689,29802321,31626953,,,1st Round Pick,115560020,28890005
19,C.J. McCollum\mccolcj01,POR,23962573,25759766,27556959,29354152,,,1st Round Pick,106633450,26658363
32,Steven Adams\adamsst01,OKC,22471910,24157303,25842697,27528090,,,1st Round Pick,100000000,25000000
33,Giannis Antetokounmpo\antetgi01,MIL,22471910,24157303,25842697,27528090,,,1st Round Pick,100000000,25000000
35,Rudy Gobert\goberru01,UTA,21974719,23491573,25008427,26525281,,,1st Round Pick,97000000,24250000
37,Victor Oladipo\oladivi01,IND,21000000,21000000,21000000,21000000,,,1st Round Pick,84000000,21000000
21,Anthony Davis\davisan02,NOP,23775506,25434263,27093019,28751775,,,1st Round Pick,76302788,26263641
80,Gorgui Dieng\dienggo01,MIN,14112360,15170787,16229213,17287640,,,1st Round Pick,62800000,15700000
69,Dennis Schroder\schrode01,ATL,15500000,15500000,15500000,15500000,,,1st Round Pick,62000000,15500000
93,Cody Zeller\zelleco01,CHO,12584270,13528090,14471910,15415730,,,1st Round Pick,56000000,14000000
250,T.J. Warren\warretj01,PHO,3152931,11750000,10810000,11750000,12690000,,1st Round Pick,50152931,10030586
