last name,first name,position,team,year,average salary
Horford,Al,C,ATL,2013,12000000
Millsap,Paul,PF,ATL,2013,9500000
Teague,Jeff,PG,ATL,2013,8000000
Korver,Kyle,SG,ATL,2013,6000000
Williams,Louis,SG,ATL,2013,5225000
Brand,Elton,PF,ATL,2013,4000000
Carroll,DeMarre,SF,ATL,2013,2500000
Schröder,Dennis,PG,ATL,2013,1877716
Ayon,Gustavo,PF,ATL,2013,1500000
Jenkins,John,SG,ATL,2013,1258760
Antic,Pero,PF,ATL,2013,1225000
Muscala,Mike,PF,ATL,2013,735231
Scott,Mike,PF,ATL,2013,631238
Mack,Shelvin,PG,ATL,2013,493707
Martin,Cartier,PF,ATL,2013,332402
Martin,Cartier,PF,ATL,2013,6044
Martin,Cartier,PF,ATL,2013,6044
Armstrong,Hilton,C,ATL,2013,6044
Pittman,Dexter,C,ATL,2013,5202
Nunnally,James,SG,ATL,2013,2883
Nunnally,James,SG,ATL,2013,2883
Humphries,Kris,PF,BOS,2013,12000000
Rondo,Rajon,PG,BOS,2013,11000000
Wallace,Gerald,SF,BOS,2013,10000008
Green,Jeff,SF,BOS,2013,8800000
Bass,Brandon,PF,BOS,2013,6450000
Bogans,Keith,SF,BOS,2013,5209958
Anthony,Joel,C,BOS,2013,3650000
Bayless,Jerryd,PG,BOS,2013,3067500
Olynyk,Kelly,C,BOS,2013,2330324
Faverani,Vitor,C,BOS,2013,2060000
Bradley,Avery,SG,BOS,2013,1771218
Sullinger,Jared,PF,BOS,2013,1591605
Pressey,Phil,PG,BOS,2013,751313
Johnson,Christapher,SF,BOS,2013,738927
Babb,Chris,SG,BOS,2013,613870
Johnson,Christapher,SF,BOS,2013,4640
Johnson,Christapher,SF,BOS,2013,4640
Babb,Chris,SG,BOS,2013,2883
Babb,Chris,SG,BOS,2013,2883
Blue,Vander,SG,BOS,2013,2883
Johnson,Joe,SF,BKN,2013,20609682
Williams,Deron,PG,BKN,2013,19754465
Pierce,Paul,SF,BKN,2013,15333334
Lopez,Brook,C,BKN,2013,15206485
Garnett,Kevin,PF,BKN,2013,12000000
Thornton,Marcus,SG,BKN,2013,7787500
Kirilenko,Andrei,SF,BKN,2013,3254618
Teletovic,Mirza,PF,BKN,2013,3229050
Plumlee,Mason,C,BKN,2013,1599943
Blatche,Andray,C,BKN,2013,1406555
Livingston,Shaun,PG,BKN,2013,1272279
Teague,Marquis,PG,BKN,2013,1017547
Anderson,Alan,SG,BKN,2013,1005646
Gutierrez,Jorge,PG,BKN,2013,437075
Collins,Jason,C,BKN,2013,271669
Collins,Jason,C,BKN,2013,8232
Collins,Jason,C,BKN,2013,8232
Gutierrez,Jorge,PG,BKN,2013,2883
Gutierrez,Jorge,PG,BKN,2013,2883
Jefferson,Al,C,CHA,2013,13500000
Thomas,Tyrus,PF,CHA,2013,9041323
Henderson,Gerald,SG,CHA,2013,6000000
Kidd-Gilchrist,Michael,SF,CHA,2013,5190231
Zeller,Cody,PF,CHA,2013,4352528
Haywood,Brendan,C,CHA,2013,4209047
Ridnour,Luke,PG,CHA,2013,4000000
Neal,Gary,PG,CHA,2013,3250000
Biyombo,Bismack,PF,CHA,2013,3161320
McRoberts,Josh,PF,CHA,2013,2711670
Walker,Kemba,PG,CHA,2013,2664793
Pargo,Jannero,PG,CHA,2013,1399507
Tolliver,Anthony,PF,CHA,2013,1027424
Taylor,Jeff,SG,CHA,2013,759705
Douglas-Roberts,Chris,SG,CHA,2013,708142
White,D.J.,PF,CHA,2013,42306
White,D.J.,PF,CHA,2013,6044
White,D.J.,PF,CHA,2013,6044
Hamilton,Justin,C,CHA,2013,2883
Rose,Derrick,PG,CHI,2013,18862876
Boozer,Carlos,PF,CHI,2013,15000000
Noah,Joakim,C,CHI,2013,12000000
Gibson,Taj,PF,CHI,2013,8250000
Hinrich,Kirk,SG,CHI,2013,4000000
Dunleavy,Mike,SF,CHI,2013,3254618
Snell,Tony,SF,CHI,2013,1696412
Mohammed,Nazr,C,CHI,2013,1399507
Butler,Jimmy,SG,CHI,2013,1302377
Augustin,D.J.,PG,CHI,2013,755459
James,Mike,PG,CHI,2013,753059
Brewer,Ronnie,SF,CHI,2013,690039
Amundson,Louis,PF,CHI,2013,679570
Smith,Greg,C,CHI,2013,481884
Fredette,Jimmer,PG,CHI,2013,239279
James,Mike,PG,CHI,2013,8232
Martin,Cartier,PF,CHI,2013,6044
Martin,Cartier,PF,CHI,2013,6044
Varnado,Jarvis,PF,CHI,2013,4640
Deng,Luol,SF,CLE,2013,11834238
Varejao,Anderson,PF,CLE,2013,8050000
Hawes,Spencer,PF,CLE,2013,6550000
Jack,Jarrett,PG,CLE,2013,6300000
Irving,Kyrie,PG,CLE,2013,5799503
Bennett,Anthony,PF,CLE,2013,5563920
Thompson,Tristan,C,CLE,2013,4205318
Waiters,Dion,SG,CLE,2013,4205318
Gee,Alonzo,SF,CLE,2013,3250000
Miles,C.J.,SG,CLE,2013,2225000
Zeller,Tyler,C,CLE,2013,1879324
Karasev,Sergey,SG,CLE,2013,1533840
Hopson,Scotty,SF,CLE,2013,1419639
Felix,Carrick,SG,CLE,2013,822364
Dellavedova,Matthew,PG,CLE,2013,653331
Curry,Seth,SG,CLE,2013,2883
Edwards,Shane,SF,CLE,2013,2883
Onuaku,Arinze,PF,CLE,2013,2883
Onuaku,Arinze,PF,CLE,2013,2883
Nowitzki,Dirk,PF,DAL,2013,20000000
Ellis,Monta,SG,DAL,2013,8360000
Marion,Shawn,SF,DAL,2013,8003842
Calderon,Jose,PG,DAL,2013,7250000
Haywood,Brendan,C,DAL,2013,7023500
Wright,Brandan,PF,DAL,2013,5000000
Dalembert,Samuel,C,DAL,2013,3784015
Carter,Vince,SG,DAL,2013,3090000
Ellington,Wayne,SG,DAL,2013,2711670
Larkin,Shane,PG,DAL,2013,1571520
Harris,Devin,PG,DAL,2013,1265977
Blair,DeJaun,C,DAL,2013,947907
Ledo,Ricky,SG,DAL,2013,830864
James,Bernard,C,DAL,2013,788872
