last name,first name,position,team,year,average salary
Millsap,Paul,PF,ATL,2015,20072033
Horford,Al,C,ATL,2015,12000000
Splitter,Tiago,PF,ATL,2015,9000000
Teague,Jeff,PG,ATL,2015,8000000
Korver,Kyle,SG,ATL,2015,6000000
Sefolosha,Thabo,SF,ATL,2015,4000000
Scott,Mike,PF,ATL,2015,3333333
Splitter,Tiago,PF,ATL,2015,3000000
Hinrich,Kirk,SG,ATL,2015,2793470
Bazemore,Kent,SF,ATL,2015,2000000
Schröder,Dennis,PG,ATL,2015,1877716
HardawayJr.,Tim,SG,ATL,2015,1508381
Tavares,Walter,C,ATL,2015,1004915
Muscala,Mike,PF,ATL,2015,735231
Patterson,Lamar,SG,ATL,2015,699865
Humphries,Kris,PF,ATL,2015,388025
Johnson,Amir,PF,BOS,2015,12000000
Bradley,Avery,SG,BOS,2015,8000000
Crowder,Jae,SF,BOS,2015,7000000
Thomas,Isaiah,PG,BOS,2015,6750001
Jerebko,Jonas,PF,BOS,2015,5000000
Smart,Marcus,PG,BOS,2015,3707815
Turner,Evan,SF,BOS,2015,3351755
Olynyk,Kelly,C,BOS,2015,2330324
Rozier,Terry,PG,BOS,2015,1906440
Zeller,Tyler,C,BOS,2015,1879324
Young,James,SG,BOS,2015,1749840
Sullinger,Jared,PF,BOS,2015,1591605
Mickey,Jordan,PF,BOS,2015,1223653
Hunter,R.J.,SG,BOS,2015,1174440
Holland,John,SF,BOS,2015,441951
Clarke,Coty,PF,BOS,2015,3089
Clarke,Coty,PF,BOS,2015,3089
Lopez,Brook,C,BKN,2015,21165675
Young,Thaddeus,PF,BKN,2015,13500000
Jack,Jarrett,PG,BKN,2015,6300000
Bogdanovic,Bojan,SF,BKN,2015,3425510
Karasev,Sergey,SG,BKN,2015,1533840
Ellington,Wayne,SG,BKN,2015,1533750
Larkin,Shane,PG,BKN,2015,1500000
Hollis-Jefferson,Rondae,SF,BKN,2015,1395600
McCullough,Chris,PF,BKN,2015,1267701
Robinson,Thomas,PF,BKN,2015,1016155
Sloan,Donald,PG,BKN,2015,1015421
Reed,Willie,PF,BKN,2015,947276
Kilpatrick,Sean,SG,BKN,2015,750951
Brown,Markel,SG,BKN,2015,676198
Sims,Henry,C,BKN,2015,46181
Sims,Henry,C,BKN,2015,5773
Sims,Henry,C,BKN,2015,5773
Kilpatrick,Sean,SG,BKN,2015,4971
Kilpatrick,Sean,SG,BKN,2015,4971
Jefferson,Al,C,CHA,2015,13500000
Walker,Kemba,PG,CHA,2015,12000000
Batum,Nicolas,SG,CHA,2015,11530375
Williams,Marvin,PF,CHA,2015,7000000
Hawes,Spencer,PF,CHA,2015,5663088
Lee,Courtney,SG,CHA,2015,5337500
Kidd-Gilchrist,Michael,SF,CHA,2015,5190231
Zeller,Cody,PF,CHA,2015,4352528
Kaminsky,Frank,C,CHA,2015,2730040
Lamb,Jeremy,SG,CHA,2015,2341929
Lin,Jeremy,PG,CHA,2015,2187128
Roberts,Brian,PG,CHA,2015,1897695
Hansbrough,Tyler,PF,CHA,2015,1185784
Daniels,Troy,SG,CHA,2015,881879
Harrison,Aaron,SG,CHA,2015,699865
