last name,first name,position,team,year,average salary
Wade,Dwyane,Shooting Guard,CLE,2017,2328652
Rose,Derrick,Point Guard,CLE,2017,2106470
Zizic,Ante,Center,CLE,2017,1798980
Tavares,Walter,Center,CLE,2017,1025682
Felder,Kay,Point Guard,CLE,2017,832994
Barnes,Harrison,Small Forward,DAL,2017,23609631
Matthews,Wesley,Shooting Guard,DAL,2017,17515007
Powell,Dwight,Power Forward,DAL,2017,9317188
McRoberts,Josh,Power Forward,DAL,2017,5663088
Nowitzki,Dirk,Power Forward,DAL,2017,5000000
Noel,Nerlens,Center,DAL,2017,4187598
Harris,Devin,Point Guard,DAL,2017,4140721
Barea,Jose,Point Guard,DAL,2017,4000425
SmithJr.,Dennis,Point Guard,DAL,2017,3519120
Curry,Seth,Shooting Guard,DAL,2017,2963205
Withey,Jeff,Center,DAL,2017,1686123
Wayns,Maalik,Point Guard,DAL,2017,1471382
Finney-Smith,Dorian,Small Forward,DAL,2017,832994
Clavell,Gian,Shooting Guard,DAL,2017,815615
Kleber,Maxi,Forward,DAL,2017,815615
Mejri,Salah,Center,DAL,2017,804825
Ferrell,Yogi,Point Guard,DAL,2017,207798
Millsap,Paul,Power Forward,DEN,2017,30500000
Plumlee,Mason,Center,DEN,2017,13666667
Faried,Kenneth,Power Forward,DEN,2017,12500000
Chandler,Wilson,Small Forward,DEN,2017,11625000
Arthur,Darrell,Power Forward,DEN,2017,7666667
Nelson,Jameer,Point Guard,DEN,2017,4540525
Barton,Will,Shooting Guard,DEN,2017,3533333
Murray,Jamal,Point Guard,DEN,2017,3355320
Mudiay,Emmanuel,Point Guard,DEN,2017,3241840
Lyles,Trey,Power Forward,DEN,2017,2596512
Childress,Josh,Small Forward,DEN,2017,2106470
Hernangomez,Juan,Power Forward,DEN,2017,2076880
Beasley,Malik,Shooting Guard,DEN,2017,1958379
Harris,Gary,Shooting Guard,DEN,2017,1828154
Lydon,Tyler,Small Forward,DEN,2017,1727040
Jokic,Nikola,Center,DEN,2017,1358500
Drummond,Andre,Center,DET,2017,25434263
Harris,Tobias,Power Forward,DET,2017,16000000
Jackson,Reggie,Point Guard,DET,2017,16000000
Leuer,Jon,Power Forward,DET,2017,10500000
Bradley,Avery,Shooting Guard,DET,2017,8000000
Marjanovic,Boban,Center,DET,2017,7000000
Galloway,Langston,Point Guard,DET,2017,7000000
Smith,Ishmael,Point Guard,DET,2017,6000000
Tolliver,Anthony,Power Forward,DET,2017,3290000
Kennard,Luke,Shooting Guard,DET,2017,3017280
Johnson,Stanley,Small Forward,DET,2017,2969880
Bullock,Reggie,Small Forward,DET,2017,2500000
Udrih,Beno,Point Guard,DET,2017,2328652
Moreland,Eric,Power Forward,DET,2017,1826300
Ellenson,Henry,Power Forward,DET,2017,1742460
Nnoko,Landry,Center,DET,2017,815615
Willis,Derek,Forward,DET,2017,815615
Curry,Stephen,Point Guard,GSW,2017,40231758
Durant,Kevin,Small Forward,GSW,2017,25625000
Thompson,Klay,Shooting Guard,GSW,2017,17244863
Green,Draymond,Power Forward,GSW,2017,16400000
Iguodala,Andre,Shooting Guard,GSW,2017,16000000
Livingston,Shaun,Point Guard,GSW,2017,7897436
Young,Nick,Small Forward,GSW,2017,5192000
Pachulia,Zaza,Center,GSW,2017,3477600
West,David,Power Forward,GSW,2017,2328652
McGee,JaVale,Center,GSW,2017,2116955
Casspi,Omri,Small Forward,GSW,2017,2106470
Gbinije,Michael,Shooting Guard,GSW,2017,1312611
Niang,Georges,Small Forward,GSW,2017,1312611
Jones,Damian,Center,GSW,2017,1242086
Looney,Kevon,Small Forward,GSW,2017,1182880
Bell,Jordan,Power Forward,GSW,2017,1096929
Cleveland,Antonius,Shooting Guard,GSW,2017,815615
Hamilton,Alex,Guard,GSW,2017,815615
McCaw,Patrick,Shooting Guard,GSW,2017,724360
Harden,James,Shooting Guard,HOU,2017,29491212
Paul,Chris,Point Guard,HOU,2017,21468695
Anderson,Ryan,Power Forward,HOU,2017,20000000
Gordon,Eric,Shooting Guard,HOU,2017,13221622
Ariza,Trevor,Small Forward,HOU,2017,8000001
Tucker,P.J.,Small Forward,HOU,2017,7969537
Hilario,Nene,Power Forward,HOU,2017,3651480
Black,Tarik,Center,HOU,2017,3290000
Richard,Luc,Small Forward,HOU,2017,2116955
Johnson,Christapher,Small Forward,HOU,2017,1577230
Williams,Troy,Small Forward,HOU,2017,1564356
Capela,Clint,Center,HOU,2017,1515672
Qi,Zhou,Center,HOU,2017,1391332
Brown,Bobby,Point Guard,HOU,2017,1312611
Oliver,Cameron,Forward,HOU,2017,1096929
Taylor,Isaiah,Point Guard,HOU,2017,1000474
Onuaku,Chinanu,Center,HOU,2017,832994
DePaula,George,Point Guard,HOU,2017,815615
Quarterman,Tim,Point Guard,HOU,2017,724360
Oladipo,Victor,Shooting Guard,IND,2017,21250000
Young,Thaddeus,Power Forward,IND,2017,13500000
Bogdanovic,Bojan,Small Forward,IND,2017,10500000
Collison,Darren,Point Guard,IND,2017,10000000
Jefferson,Al,Center,IND,2017,10000000
Joseph,Cory,Point Guard,IND,2017,7472500
Stephenson,Lance,Small Forward,IND,2017,4090000
Turner,Myles,Center,IND,2017,2700451
Sabonis,Domantas,Power Forward,IND,2017,2495100
Leaf,TJ,Power Forward,IND,2017,2217960
Wilkins,Damien,Shooting Guard,IND,2017,2116955
Anigbogu,Ike,Center,IND,2017,1315587
Jones,DeQuan,Small Forward,IND,2017,1312611
Uthoff,Jarrod,Power Forward,IND,2017,1312611
RobinsonIII,Glen,Shooting Guard,IND,2017,1080333
Young,Joseph,Point Guard,IND,2017,1075000
McKinney-Jones,Trey,Shooting Guard,IND,2017,815615
Moore,Ben,Power Forward,IND,2017,815615
Griffin,Blake,Power Forward,LAC,2017,34234964
Jordan,DeAndre,Center,LAC,2017,21904013
Gallinari,Danilo,Small Forward,LAC,2017,21587579
Rivers,Austin,Shooting Guard,LAC,2017,11825000
Williams,Louis,Shooting Guard,LAC,2017,7000000
Teodosic,Milos,Point Guard,LAC,2017,6150000
Johnson,Wesley,Shooting Guard,LAC,2017,5881260
Beverley,Patrick,Point Guard,LAC,2017,5756757
Dekker,Sam,Small Forward,LAC,2017,1720520
Reed,Willie,Power Forward,LAC,2017,1577230
Plumlee,Marshall,Power Forward,LAC,2017,1312611
Wiltjer,Kyle,Power Forward,LAC,2017,1312611
Johnson,Brice,Power Forward,LAC,2017,1302540
Thornwell,Sindarius,Shooting Guard,LAC,2017,1270792
Evans,Jawun,Point Guard,LAC,2017,1096929
Harrell,Montrezl,Power Forward,LAC,2017,1045000
Henton,LaDontae,Forward,LAC,2017,815615
Wallace,Tyrone,Point Guard,LAC,2017,815615
Williams,C.J.,Shooting Guard,LAC,2017,815615
Lopez,Brook,Center,LAL,2017,21165675
Deng,Luol,Small Forward,LAL,2017,18000000
Caldwell-Pope,Kentavious,Shooting Guard,LAL,2017,17745894
Clarkson,Jordan,Shooting Guard,LAL,2017,12500000
Brewer,Corey,Shooting Guard,LAL,2017,7806971
Ball,Lonzo,Point Guard,LAL,2017,6874260
Ingram,Brandon,Small Forward,LAL,2017,5400540
Randle,Julius,Power Forward,LAL,2017,3386491
Bogut,Andrew,Center,LAL,2017,2328652
Ennis,Tyler,Point Guard,LAL,2017,1590199
Hart,Josh,Shooting Guard,LAL,2017,1524840
Blue,Vander,Shooting Guard,LAL,2017,1471382
Weber,Briante,Shooting Guard,LAL,2017,1471382
Zimmerman,Stephen,Center,LAL,2017,1312611
NanceJr.,Larry,Power Forward,LAL,2017,1207640
Bryant,Thomas,Center,LAL,2017,1096929
Zubac,Ivica,Center,LAL,2017,1081529
Conley,Mike,Point Guard,MEM,2017,30521115
Parsons,Chandler,Small Forward,MEM,2017,23609631
Gasol,Marc,Center,MEM,2017,22642350
Green,JaMychal,Power Forward,MEM,2017,8500000
Wright,Brandan,Power Forward,MEM,2017,5709880
McLemore,Ben,Shooting Guard,MEM,2017,5330000
Evans,Tyreke,Small Forward,MEM,2017,3290000
Ennis,James,Small Forward,MEM,2017,2963205
Chalmers,Mario,Point Guard,MEM,2017,2106470
Baldwin,Wade,Point Guard,MEM,2017,1834080
Selden,Wayne,Shooting Guard,MEM,2017,1428781
Davis,Deyonta,Power Forward,MEM,2017,1307614
Martin,Jarell,Power Forward,MEM,2017,1286200
Rabb,Ivan,Power Forward,MEM,2017,1164121
Zagorac,Rade,Small Forward,MEM,2017,1164121
Harrison,Andrew,Point Guard,MEM,2017,994269
Morgan,Jeremy,Guard,MEM,2017,815615
Whiteside,Hassan,Center,MIA,2017,24604885
Dragic,Goran,Point Guard,MIA,2017,17000450
Johnson,James,Power Forward,MIA,2017,14431700
Waiters,Dion,Shooting Guard,MIA,2017,13000000
Olynyk,Kelly,Center,MIA,2017,12500000
Johnson,Tyler,Shooting Guard,MIA,2017,12500000
Ellington,Wayne,Shooting Guard,MIA,2017,6135000
Winslow,Justise,Small Forward,MIA,2017,2807282
Adebayo,Edrice,Power Forward,MIA,2017,2723100
Haslem,Udonis,Power Forward,MIA,2017,2328652
Mickey,Jordan,Power Forward,MIA,2017,1471382
DrewII,Larry,Point Guard,MIA,2017,1312611
Hammons,A.J.,Center,MIA,2017,868504
McGruder,Rodney,Shooting Guard,MIA,2017,832994
McCree,Erik,Forward,MIA,2017,815615
Williams,Matt,Shooting Guard,MIA,2017,815615
Richardson,Josh,Shooting Guard,MIA,2017,804825
White,Okaro,Small Forward,MIA,2017,761803
